name,fullName,number,weight,colorCPK,colorVmd,colorJmol,radiusBonds,radiusCovalent,radiusVDW,HValency
Hg,Mercury,80,200.59,,,0xB8B8D0,1.7,1.33,1.55,[0]
Tl,Thallium,81,204.38,,,0xA6544D,1.55,1.44,1.96,"[1, 3]"
Pb,Lead,82,207.2,,,0x575961,1.54,1.44,2.02,"[2, 4]"
Bi,Bismuth,83,208.98,,,0x9E4FB5,1.54,1.51,1.7,"[3, 5]"
Po,Polonium,84,210,,,0xAB5C00,1.68,1.45,1.7,"[2, 4, 6]"
At,Astatine,85,210,,,0x754F45,1.7,1.47,1.7,"[1, 3, 5, 7]"
Rn,Radon,86,222,,,0x428296,2.4,1.42,1.7,[0]
Fr,Francium,87,223,,,0x420066,2,2.23,1.7,[1]
Ra,Radium,88,226.03,,,0x007D00,1.9,2.01,1.7,[2]
Ac,Actinium,89,227.03,,,0x70ABFA,1.88,1.86,1.7,[0]
Th,Thorium,90,232.04,,,0x00BAFF,1.79,1.75,1.7,[0]
Pa,Protactinium,91,231.04,,,0x00A1FF,1.61,1.69,1.7,[0]
U,Uranium,92,238.03,,,0x008FFF,1.58,1.7,1.86,[0]
Np,Neptunium,93,237.05,,,0x0080FF,1.55,1.71,1.7,[0]
Pu,Plutonium,94,239.1,,,0x006BFF,1.53,1.72,1.7,[0]
Am,Americium,95,243.1,,,0x545CF2,1.51,1.66,1.7,[0]
Cm,Curium,96,247.1,,,0x785CE3,1.5,1.66,1.7,[0]
Bk,Berkelium,97,247.1,,,0x8A4FE3,1.5,1.68,1.7,[0]
Cf,Californium,98,252.1,,,0xA136D4,1.5,1.68,1.7,[0]
Es,Einsteinium,99,252.1,,,0xB31FD4,1.5,1.65,1.7,[0]
Fm,Fermium,100,257.1,,,0xB31FBA,1.5,1.67,1.7,[0]
Md,Mendelevium,101,256.1,,,0xB30DA6,1.5,1.73,1.7,[0]
No,Nobelium,102,259.1,,,0xBD0D87,1.5,1.76,1.7,[0]
Lr,Lawrencium,103,260.1,,,0xC70066,1.5,1.61,1.7,[0]
Rf,Rutherfordium,104,261,,,0xCC0059,1.6,1.57,1.7,[0]
Db,Dubnium,105,262,,,0xD1004F,1.6,1.49,1.7,[0]
Sg,Seaborgium,106,263,,,0xD90045,1.6,1.43,1.7,[0]
Bh,Bohrium,107,262,,,0xE00038,1.6,1.41,1.7,[0]
Hs,Hassium,108,265,,,0xE6002E,1.6,1.34,1.7,[0]
Mt,Meitnerium,109,268,,,0xEB0026,1.6,1.29,1.7,[0]
